Cat Breeds,m1,m2,m3,f1,f2,f3
Abyssinian,Apollo,Nico,Leo,Mocha,Rosie,Eve
American Bobtail,Ash,Arthur,Bengie,Ayla,Misty,Mia
American Curl,Matthew,Snickerdoodle,Oliver,Ava,Elise,poppy
American ShortHair,peter,mitchell,barry,carla,lisa,nicole
Bengal,mittens,biscut,gatsby,snickers,clover,maple
Birman,daisy,nala,peanut,ivory,bubbles,noodle
Bombay,bond,flint,zues,fern,ivy,blossom
British Shorthair,boots,sassy,skittles,willow,snowball,doodle
Egyptian Mau,paws,titan,mischevious scheemer,Kita ,petal,bambalina 
Exotic Shorthair,barnabas,stinger flyn,banban,Loaf,Bread,Potato
Maine Coon,Big guy,Tiny,Friend,Ivy,Liz,Clove
Manx,Tiger,Leo,Little guy,Rabbit,Ivy,Rose
Norwegian Forest,Lion,Oscar,Jumbo Josh,Nala ,Apple,Peaches
Persian,Grumpy old cat,Banana,Little guy,Toaster oven,Liz,Rat
Ragdoll,Sapph,Floof,Iguana,Snow,Silk,Deer
Russian Blue,Blue,Muffin,Muffin Tray,Ash,Lizard,Lisa
Scottish Fold,Emilius,Joshua,Toast,Pumpkin,Misty,Forest
Siamese,Leo,Blue,Cinnamon,Azure,Lilac,Cleo
Sphynx,goober,eldritch horror,dinner,schemaster,contractor of death,Scrimbulous III
Turkish Angora,Max,Marco,Polo,Kaya,Sophie,Luna
